-----------------------------------------------------------------------------------------------------------------------------------------------------
Name                              MW       Cp@298K        H@298K        G@298K        S@298K      Cp@1000K       H@1000K       G@1000K       S@1000K 
                           [kg/kmol]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K]   [cal/mol/K]    [kcal/mol]    [kcal/mol]   [cal/mol/K] 
-----------------------------------------------------------------------------------------------------------------------------------------------------
AR                           39.9480        4.9675       -0.0007      -11.0276       37.0027        4.9675        3.4864      -39.5303       43.0167
N2                           28.0140        6.9435        0.0002      -13.6452       45.7902        7.7989        5.1298      -49.3995       54.5293
HE                            4.0030        4.9675       -0.0007       -8.9842       30.1457        4.9675        3.4864      -32.6732       36.1596
H2                            2.0160        6.8632       -0.0018       -9.3082       31.2297        7.2209        4.9449      -34.7841       39.7290
H                             1.0080        4.9675       52.0966       43.9276       27.4127        4.9675       55.5838       22.1571       33.4267
O2                           31.9980        7.0290       -0.0026      -14.6100       49.0182        8.3256        5.4210      -52.7848       58.2058
O                            15.9990        5.2373       59.5607       48.0911       38.4885        4.9998       63.1131       18.4731       44.6401
H2O                          18.0150        8.0386      -57.7945      -71.2407       45.1214        9.8733      -51.5789     -107.1992       55.6203
OH                           17.0070        7.1478        8.9631       -4.1226       43.9120        7.3424       13.9643      -38.5514       52.5157
H2O2                         34.0140       10.2070      -32.3871      -49.0799       56.0161       15.0459      -23.2979      -94.4001       71.1022
HO2                          33.0060        8.4180        2.9307      -13.3861       54.7546       11.5299       10.0369      -56.5898       66.6267
CO                           28.0100        6.9505      -26.4132      -40.4893       47.2352        7.9125      -21.2300      -77.2819       56.0518
CO2                          44.0090        8.8628      -94.0341     -109.2584       51.0881       12.9580      -86.0504     -150.4073       64.3569
HOCO                         45.0170       10.4642      -43.3428      -61.2640       60.1381       16.3690      -33.4877     -109.9002       76.4125
CH4                          16.0430        8.5234      -17.8303      -31.1008       44.5321       17.5545       -8.5876      -67.9258       59.3382
CH3                          15.0350        9.1781       35.0575       21.2423       46.3596       14.0644       43.3203      -16.6934       60.0138
CH2                          14.0270        8.3950       93.4958       79.6492       46.4652       10.5766      100.1734       42.4556       57.7178
CH2(S)                       14.0270        8.0728      102.4736       88.9994       45.2153       10.5498      108.9703       52.8578       56.1125
C                            12.0110        4.9812      171.2688      160.0103       37.7801        4.9657      174.7581      130.9587       43.7994
CH                           13.0190        6.9896      142.4829      129.4476       43.7425        7.7192      147.5559       95.1504       52.4055
CH3O2H                       48.0410       15.8918      -30.2893      -49.9345       65.9234       27.4164      -14.1146     -106.5490       92.4344
CH3O2                        47.0330       11.8019        2.9078      -16.3076       64.4810       22.8713       15.7072      -69.4950       85.2022
