 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                     SPECIFIC HEAT COEFFICIENTS                                                                     

             Cp = A + B*T + C*T^2 + D*T^3 + E*T^4  [J/kg/K]                                                         

    Species                      Cp(298K)         Cp(1000K)          LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)             A(HT)           B(HT)            C(HT)            D(HT)           E(HT)      
 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                       1.430307e+04     1.496188e+04     1.000000e+03     9.668577e+03     3.291356e+01    -8.033251e-02     8.313311e-05    -3.042086e-08     1.376373e+04    -2.037475e-01     2.059878e-03    -7.405744e-07     8.259006e-11
    2. H                        2.062119e+04     2.062119e+04     1.000000e+03     2.062119e+04     5.817920e-09    -1.646329e-11     1.897822e-14    -7.652376e-18     2.062119e+04    -1.904102e-07     1.332640e-10    -3.905778e-14     4.109368e-18
    3. O                        1.369608e+03     1.307846e+03     1.000000e+03     1.646505e+03    -1.704217e+00     3.452310e-03    -3.184673e-06     1.097920e-09     1.335293e+03    -4.467958e-02     2.180004e-05    -5.206104e-09     6.383500e-13
    4. O2                       9.181008e+02     1.090161e+03     1.000000e+03     9.828455e+02    -7.786810e-01     2.558754e-03    -2.515619e-06     8.428607e-10     8.529451e+02     3.853702e-01    -1.969525e-04     5.442950e-08    -5.631264e-12
    5. OH                       1.757327e+03     1.804775e+03     1.000000e+03     1.951635e+03    -1.173967e+00     2.257639e-03    -1.897427e-06     6.668948e-10     1.512065e+03     2.681189e-01     6.184647e-05    -4.299553e-08     5.740112e-12
    6. H2O                      1.864380e+03     2.292242e+03     1.000000e+03     1.937798e+03    -9.398754e-01     3.009361e-03    -2.532863e-06     8.178210e-10     1.400278e+03     1.004713e+00    -7.572438e-05    -4.478778e-08     7.762980e-12
    7. HO2                      1.057090e+03     1.442632e+03     1.000000e+03     1.083656e+03    -1.196340e+00     5.329934e-03    -6.115407e-06     2.340789e-09     1.011966e+03     5.642277e-01    -1.596233e-04     2.877953e-08    -2.718298e-12
    8. H2O2                     1.246012e+03     1.836819e+03     1.000000e+03     1.045263e+03    -1.326888e-01     4.090393e-03    -5.274353e-06     2.108204e-09     1.018103e+03     1.199801e+00    -4.647808e-04     9.073358e-08    -7.037698e-12
    9. C                        1.734961e+03     1.731134e+03     1.000000e+03     1.768140e+03    -2.225804e-01     5.079584e-04    -5.068803e-07     1.844961e-10     1.725518e+03     3.321973e-02    -5.014117e-05     2.590982e-08    -3.373119e-12
   10. CH                       2.240942e+03     2.478401e+03     1.000000e+03     2.228739e+03     2.068145e-01    -1.078658e-03     2.019492e-06    -8.979866e-10     1.838305e+03     6.200649e-01     9.224886e-05    -8.346257e-08     1.124514e-11
   11. CH2                      2.496057e+03     3.178875e+03     1.000000e+03     2.230317e+03     5.742961e-01     1.656668e-03    -2.282616e-06     1.000211e-09     1.703615e+03     2.167316e+00    -8.351485e-04     1.542206e-07    -1.112750e-11
   12. CH2(S)                   2.408215e+03     3.153378e+03     1.000000e+03     2.488710e+03    -1.402803e+00     4.880064e-03    -3.964387e-06     1.151795e-09     1.358599e+03     2.759763e+00    -1.192559e-03     2.477125e-07    -2.013659e-11
   13. CH3                      2.554863e+03     3.919407e+03     1.000000e+03     2.031522e+03     1.112071e+00     3.168852e-03    -3.799808e-06     1.406771e-09     1.264018e+03     4.003717e+00    -1.651912e-03     3.294179e-07    -2.583397e-11
   14. CH4                      2.224358e+03     4.588709e+03     1.000000e+03     2.668980e+03    -7.085136e+00     2.548811e-02    -2.512234e-05     8.639099e-09     3.879262e+01     6.940006e+00    -2.971117e-03     6.337946e-07    -5.276687e-11
   15. CO                       1.040366e+03     1.183965e+03     1.000000e+03     1.062545e+03    -1.811768e-01     3.018302e-04     2.692348e-07    -2.684685e-10     8.059732e+02     6.122387e-01    -2.964905e-04     6.828872e-08    -6.045060e-12
   16. CO2                      8.436562e+02     1.234313e+03     1.000000e+03     4.452568e+02     1.697428e+00    -1.345829e-03     4.646060e-07    -2.714864e-11     7.287761e+02     8.339911e-01    -4.184369e-04     9.890112e-08    -8.918917e-12
   17. HCO                      1.191976e+03     1.656269e+03     1.000000e+03     1.209487e+03    -9.294746e-01     3.948337e-03    -3.814948e-06     1.242868e-09     7.943049e+02     1.420305e+00    -7.118656e-04     1.688112e-07    -1.528651e-11
   18. CH2O                     1.178406e+03     2.064668e+03     1.000000e+03     1.327424e+03    -2.743704e+00     1.033479e-02    -1.050274e-05     3.648900e-09     4.875505e+02     2.547561e+00    -1.224653e-03     2.786843e-07    -2.447474e-11
   19. CH2OH                    1.558297e+03     2.494232e+03     1.000000e+03     1.035192e+03     1.499444e+00     1.589462e-03    -2.800565e-06     1.170699e-09     9.893191e+02     2.316328e+00    -1.004951e-03     2.109117e-07    -1.737572e-11
   20. CH3O                     1.219536e+03     2.507479e+03     1.000000e+03     5.642828e+02     1.933431e+00     1.430255e-03    -1.976577e-06     5.560863e-10     1.010252e+03     2.108889e+00    -7.116841e-04     1.056771e-07    -5.660007e-12
   21. CH3OH                    1.374130e+03     2.798088e+03     1.000000e+03     1.483067e+03    -3.952214e+00     1.692996e-02    -1.844447e-05     6.781746e-09     4.644048e+02     3.657157e+00    -1.651633e-03     3.585351e-07    -3.037553e-11
   22. C2H                      1.677794e+03     2.115528e+03     1.000000e+03     9.598860e+02     4.454519e+00    -9.459470e-03     9.792365e-06    -3.631773e-09     1.052282e+03     1.578592e+00    -6.105037e-04     1.010459e-07    -5.887316e-12
   23. C2H2                     1.689430e+03     2.608073e+03     1.000000e+03     2.582283e+02     7.459822e+00    -1.134136e-02     8.945836e-06    -2.714456e-09     1.324403e+03     1.903681e+00    -7.577307e-04     1.492542e-07    -1.153497e-11
   24. C2H3                     1.578694e+03     2.950457e+03     1.000000e+03     9.875742e+02     4.656762e-01     7.968597e-03    -1.099509e-05     4.523702e-09     9.273992e+02     3.175712e+00    -1.438975e-03     3.128400e-07    -2.651820e-11
   25. C2H4                     1.528235e+03     3.354139e+03     1.000000e+03     1.173402e+03    -2.243702e+00     1.692264e-02    -2.049686e-05     7.998658e-09     6.034494e+02     4.340513e+00    -1.988897e-03     4.363297e-07    -3.725595e-11
   26. C2H5                     1.736581e+03     3.711324e+03     1.000000e+03     1.232054e+03    -1.197758e+00     1.422295e-02    -1.714065e-05     6.594723e-09     5.592154e+02     4.977254e+00    -2.283621e-03     5.012872e-07    -4.281155e-11
   27. C2H6                     1.745360e+03     4.079993e+03     1.000000e+03     1.186594e+03    -1.521196e+00     1.657468e-02    -1.958935e-05     7.429257e-09     2.963791e+02     5.996054e+00    -2.772116e-03     6.122121e-07    -5.253648e-11
   28. HCCO                     1.180002e+03     1.699596e+03     1.000000e+03     4.563078e+02     3.577762e+00    -4.808665e-03     3.500905e-06    -1.026714e-09     1.140547e+03     8.278877e-01    -3.229111e-04     5.801024e-08    -3.932967e-12
   29. CH2CO                    1.230629e+03     2.015345e+03     1.000000e+03     4.224452e+02     3.583716e+00    -3.440492e-03     1.848137e-06    -3.984613e-10     8.922856e+02     1.780814e+00    -8.246613e-04     1.826278e-07    -1.572104e-11
   30. HCCOH                    1.387639e+03     2.090680e+03     1.000000e+03     2.457280e+02     6.145744e+00    -1.006091e-02     8.532056e-06    -2.771935e-09     1.171669e+03     1.343455e+00    -5.074985e-04     8.898107e-08    -5.921827e-12
   31. N2                       1.037719e+03     1.169485e+03     1.000000e+03     9.790364e+02     4.179611e-01    -1.176271e-03     1.674383e-06    -7.256245e-10     8.686170e+02     4.416266e-01    -1.687218e-04     2.996767e-08    -2.004372e-12
   32. AR                       5.203303e+02     5.203303e+02     1.000000e+03     5.203303e+02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     5.203303e+02     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   33. C3H7                     1.652415e+03     3.702378e+03     1.000000e+03     2.029077e+02     5.015418e+00     4.592557e-04    -3.783866e-06     1.808664e-09     1.486314e+03     3.095893e+00    -1.019471e-03     1.472259e-07    -7.601143e-12
   34. C3H8                     1.667483e+03     3.959826e+03     1.000000e+03     1.760210e+02     4.982338e+00     1.151277e-03    -4.143844e-06     1.794033e-09     1.420557e+03     3.558349e+00    -1.182553e-03     1.724768e-07    -9.019839e-12
   35. CH2CHO                   1.276829e+03     2.269200e+03     1.000000e+03     6.584857e+02     2.074236e+00     3.653558e-04    -1.382734e-06     5.538568e-10     1.154245e+03     1.570484e+00    -5.299514e-04     7.862095e-08    -4.203139e-12
   36. CH3CHO                   1.255397e+03     2.556187e+03     1.000000e+03     8.926273e+02    -6.026934e-01     8.971632e-03    -1.084461e-05     4.139228e-09     1.019959e+03     2.212583e+00    -7.976648e-04     1.290446e-07    -7.735389e-12

 ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------


 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                           ENTHALPY COEFFICIENTS                                                                     

             H/(RT) = A + B*T + C*T^2 + D*T^3 + E*T^4 + F/T  [-]                                                         

    Species                   H(298K)[J/kmol]  H(1000K)[J/kmol]      LT-HT            A(LT)            B(LT)            C(LT)            D(LT)            E(LT)           F(LT)             A(HT)            B(HT)            C(HT)           D(HT)             E(HT)            F(HT)      
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

    1. H2                      -4.325324e+03     2.068653e+07     1.000000e+03     2.344331e+00     3.990260e-03    -6.492717e-06     5.039302e-09    -1.475224e-12    -9.179352e+02     3.337279e+00    -2.470124e-05     1.664856e-07    -4.489160e-11     4.005108e-15    -9.501589e+02
    2. H                        2.179941e+08     2.325859e+08     1.000000e+03     2.500000e+00     3.526664e-13    -6.653065e-16     5.752041e-19    -1.855465e-22     2.547366e+04     2.500000e+00    -1.154215e-11     5.385398e-15    -1.183788e-18     9.963947e-23     2.547366e+04
    3. O                        2.491703e+08     2.640319e+08     1.000000e+03     3.168267e+00    -1.639659e-03     2.214355e-06    -1.532017e-09     4.225319e-13     2.912226e+04     2.569421e+00    -4.298706e-05     1.398282e-08    -2.504445e-12     2.456674e-16     2.921758e+04
    4. O2                      -4.406652e+03     2.270681e+07     1.000000e+03     3.782456e+00    -1.498367e-03     3.282434e-06    -2.420324e-09     6.487457e-13    -1.063944e+03     3.282538e+00     7.415438e-04    -2.526556e-07     5.236764e-11    -4.334356e-15    -1.088458e+03
    5. OH                       3.934240e+07     6.026563e+07     1.000000e+03     3.992015e+00    -1.200659e-03     1.539313e-06    -9.702833e-10     2.728229e-13     3.615081e+03     3.092888e+00     2.742149e-04     4.216841e-08    -2.198654e-11     2.348248e-15     3.858657e+03
    6. H2O                     -2.418296e+08    -2.158221e+08     1.000000e+03     4.198641e+00    -1.018217e-03     2.173467e-06    -1.371993e-09     3.543956e-13    -3.029373e+04     3.033992e+00     1.088459e-03    -5.469084e-08    -2.426050e-11     3.364020e-15    -3.000430e+04
    7. HO2                      1.254669e+07     4.210578e+07     1.000000e+03     4.301798e+00    -2.374560e-03     7.052763e-06    -6.069097e-09     1.858450e-12     2.948080e+02     4.017211e+00     1.119910e-03    -2.112194e-07     2.856159e-11    -2.158171e-15     1.118567e+02
    8. H2O2                    -1.358856e+08    -9.802240e+07     1.000000e+03     4.276113e+00    -2.714112e-04     5.577857e-06    -5.394270e-09     1.724909e-12    -1.770258e+04     4.165003e+00     2.454158e-03    -6.337974e-07     9.279650e-11    -5.758166e-15    -1.786179e+04
    9. C                        7.166727e+08     7.312752e+08     1.000000e+03     2.554240e+00    -1.607689e-04     2.445974e-07    -1.830587e-10     5.330429e-14     8.544388e+04     2.492669e+00     2.399446e-05    -2.414450e-08     9.357276e-12    -9.745558e-16     8.545130e+04
   10. CH                       5.973302e+08     6.185574e+08     1.000000e+03     3.489817e+00     1.619178e-04    -5.629969e-07     7.905433e-10    -2.812181e-13     7.079729e+04     2.878465e+00     4.854568e-04     4.814855e-08    -3.267196e-11     3.521588e-15     7.101244e+04
   11. CH2                      3.923278e+08     4.203588e+08     1.000000e+03     3.762679e+00     4.844361e-04     9.316328e-07    -9.627279e-10     3.374834e-13     4.600404e+04     2.874101e+00     1.828196e-03    -4.696487e-07     6.504489e-11    -3.754551e-15     4.626360e+04
   12. CH2(S)                   4.298849e+08     4.570711e+08     1.000000e+03     4.198604e+00    -1.183307e-03     2.744321e-06    -1.672040e-09     3.886295e-13     5.049682e+04     2.292038e+00     2.327943e-03    -6.706398e-07     1.044765e-10    -6.794327e-15     5.092600e+04
   13. CH3                      1.468934e+08     1.814641e+08     1.000000e+03     3.673590e+00     1.005476e-03     1.910073e-06    -1.717794e-09     5.087715e-13     1.644500e+04     2.285718e+00     3.619950e-03    -9.957145e-07     1.489212e-10    -9.343088e-15     1.677558e+04
   14. CH4                     -7.460492e+07    -3.594844e+07     1.000000e+03     5.149876e+00    -6.835489e-03     1.639335e-05    -1.211858e-08     3.333879e-12    -1.024665e+04     7.485150e-02     6.695473e-03    -1.910953e-06     3.057313e-10    -2.036305e-14    -9.468345e+03
   15. CO                      -1.105337e+08    -8.883940e+07     1.000000e+03     3.579533e+00    -3.051768e-04     3.389381e-07     2.267515e-10    -1.808849e-13    -1.434409e+04     2.715186e+00     1.031264e-03    -3.329419e-07     5.751325e-11    -4.072954e-15    -1.415187e+04
   16. CO2                     -3.935133e+08    -3.601107e+08     1.000000e+03     2.356774e+00     4.492298e-03    -2.374521e-06     6.147976e-10    -2.873991e-14    -4.837197e+04     3.857460e+00     2.207185e-03    -7.382713e-07     1.308725e-10    -9.441683e-15    -4.875917e+04
   17. HCO                      4.199457e+07     7.126357e+07     1.000000e+03     4.221186e+00    -1.621963e-03     4.593315e-06    -3.328602e-09     8.675377e-13     3.839565e+03     2.772174e+00     2.478478e-03    -8.281520e-07     1.472904e-10    -1.067017e-14     4.011918e+03
   18. CH2O                    -1.085847e+08    -7.379428e+07     1.000000e+03     4.793723e+00    -4.954167e-03     1.244067e-05    -9.482132e-09     2.635453e-12    -1.430896e+04     1.760690e+00     4.600000e-03    -1.474196e-06     2.516030e-10    -1.767711e-14    -1.399583e+04
   19. CH2OH                   -1.463504e+07     3.081792e+07     1.000000e+03     3.863889e+00     2.798362e-03     1.977573e-06    -2.613300e-09     8.739346e-13    -3.193914e+03     3.692666e+00     4.322884e-03    -1.250337e-06     1.968087e-10    -1.297108e-14    -3.242506e+03
   20. CH3O                     1.629803e+07     5.856130e+07     1.000000e+03     2.106204e+00     3.608298e-03     1.779491e-06    -1.844409e-09     4.151220e-13     9.786011e+02     3.770799e+00     3.935748e-03    -8.854613e-07     9.861077e-11    -4.225232e-15     1.278325e+02
   21. CH3OH                   -2.009454e+08    -1.524698e+08     1.000000e+03     5.715396e+00    -7.615456e-03     2.174804e-05    -1.777017e-08     5.227054e-12    -2.564277e+04     1.789708e+00     7.046915e-03    -2.121669e-06     3.454277e-10    -2.341204e-14    -2.537487e+04
   22. C2H                      5.661959e+08     5.996794e+08     1.000000e+03     2.889657e+00     6.704981e-03    -9.492317e-06     7.369776e-09    -2.186630e-12     6.683939e+04     3.167807e+00     2.376110e-03    -6.126236e-07     7.604756e-11    -3.544655e-15     6.712107e+04
   23. C2H2                     2.281921e+08     2.692476e+08     1.000000e+03     8.086811e-01     1.168078e-02    -1.183906e-05     7.003811e-09    -1.700146e-12     2.642898e+04     4.147570e+00     2.980833e-03    -7.909828e-07     1.168530e-10    -7.224704e-15     2.593600e+04
   24. C2H3                     2.997320e+08     3.448140e+08     1.000000e+03     3.212466e+00     7.573958e-04     8.640314e-06    -8.941446e-09     2.943017e-12     3.485985e+04     3.016724e+00     5.165115e-03    -1.560274e-06     2.544082e-10    -1.725214e-14     3.461287e+04
   25. C2H4                     5.249327e+07     1.031384e+08     1.000000e+03     3.959201e+00    -3.785261e-03     1.903301e-05    -1.728972e-08     5.397687e-12     5.089776e+03     2.036111e+00     7.322708e-03    -2.236926e-06     3.680573e-10    -2.514121e-14     4.939886e+03
   26. C2H5                     1.186500e+08     1.767508e+08     1.000000e+03     4.306466e+00    -2.093294e-03     1.657143e-05    -1.497817e-08     4.610180e-12     1.284163e+04     1.954656e+00     8.698636e-03    -2.660689e-06     4.380442e-10    -2.992832e-14     1.285752e+04
   27. C2H6                    -8.385893e+07    -1.944102e+07     1.000000e+03     4.291425e+00    -2.750771e-03     1.998128e-05    -1.771166e-08     5.373715e-12    -1.152221e+04     1.071881e+00     1.084263e-02    -3.341869e-06     5.535300e-10    -3.800058e-14    -1.142639e+04
   28. HCCO                     1.774035e+08     2.206211e+08     1.000000e+03     2.251721e+00     8.827510e-03    -7.909700e-06     4.318940e-09    -1.013296e-12     2.005945e+04     5.628206e+00     2.042670e-03    -5.311516e-07     7.156513e-11    -3.881566e-15     1.932722e+04
   29. CH2CO                   -4.770749e+07     2.387779e+06     1.000000e+03     2.135836e+00     9.059436e-03    -5.798249e-06     2.335994e-09    -4.029152e-13    -7.042918e+03     4.511297e+00     4.501799e-03    -1.389799e-06     2.308365e-10    -1.589676e-14    -7.551053e+03
   30. HCCOH                    7.824958e+07     1.316664e+08     1.000000e+03     1.242373e+00     1.553610e-02    -1.695562e-05     1.078428e-08    -2.802919e-12     8.031614e+03     5.923829e+00     3.396180e-03    -8.552855e-07     1.124696e-10    -5.988020e-15     7.264626e+03
   31. N2                      -2.930724e+03     2.146986e+07     1.000000e+03     3.298677e+00     7.041202e-04    -1.321074e-06     1.410379e-09    -4.889708e-13    -1.020900e+03     2.926640e+00     7.439884e-04    -1.894920e-07     2.524260e-11    -1.350670e-15    -9.227977e+02
   32. AR                      -3.117923e+03     1.458876e+07     1.000000e+03     2.500000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00    -7.453750e+02     2.500000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00    -7.453750e+02
   33. C3H7                     1.004891e+08     1.866182e+08     1.000000e+03     1.051552e+00     1.299599e-02     7.933513e-07    -4.902392e-09     1.874649e-12     1.063186e+04     7.702699e+00     8.022101e-03    -1.761107e-06     1.907465e-10    -7.878457e-15     8.298434e+03
   34. C3H8                    -1.038644e+08    -1.138035e+07     1.000000e+03     9.335538e-01     1.321229e-02     2.035324e-06    -5.494375e-09     1.902985e-12    -1.395852e+04     7.534137e+00     9.436119e-03    -2.090616e-06     2.286891e-10    -9.567614e-15    -1.646752e+04
